customer_id,segment_id,surname,age,gender,geography,estimated_salary,marital_status,occupation,join_date,segment,num_dependents,preferred_contact_method
100096,2,Carpenter,48,Male,United States,47551.78,Married,Self-Employed,7/12/2026,Family,4,Email
100177,5,Crawford,82,Male,United States,15359.42,Single,Retired,9/22/2019,Senior,0,Email
100193,1,Owen,31,Female,Germany,67422.68,Married,Salaried Employee,7/12/2023,Retail,0,Email
100205,5,Campbell,65,Female,France,50019.94,Married,Retired,3/28/2024,Senior,0,Email
100301,2,Castro,42,Female,United Kingdom,15962.36,Married,Salaried Employee,6/27/2026,Family,3,Email
100425,1,Stephenson,56,Male,United States,27894.97,Divorced,Self-Employed,12/11/2024,Retail,1,Email
100599,3,Carrillo,25,Female,Germany,9286.38,Single,Student,2/8/2024,Student,0,SMS
100708,1,Mullins,61,Female,United States,94553.34,Single,Business Owner,9/2/2024,Retail,2,Email
100716,3,Kim,18,Female,Germany,16901.78,Single,Student,7/13/2018,Student,0,Email
100754,1,Anderson,43,Female,Germany,17572.58,Married,Salaried Employee,12/2/2023,Retail,2,Mobile App Push
100884,4,Thompson,53,Female,France,64057.04,Married,Business Owner,4/1/2026,Premium,0,Mobile App Push
100909,1,Cochran,60,Female,France,31224.63,Married,Salaried Employee,6/11/2025,Retail,3,Mail
101139,1,Thomas,42,Male,United States,39104.18,Married,Freelancer,12/16/2024,Retail,1,SMS
101206,3,Smith,21,Male,Germany,8827.53,Single,Freelancer,11/24/2021,Student,0,Mail
101258,2,Owens,36,Male,Germany,21375.66,Single,Salaried Employee,6/18/2021,Family,4,SMS
101343,1,Rose,33,Male,United Kingdom,63458.69,Single,Salaried Employee,1/26/2025,Retail,0,Mobile App Push
101429,1,Walter,41,Male,France,23320.24,Single,Self-Employed,12/10/2017,Retail,2,Email
101533,1,Long,49,Male,France,26709.43,Single,Freelancer,9/19/2022,Retail,1,Email
101640,5,James,67,Female,Germany,40727.61,Married,Retired,12/13/2023,Senior,0,Phone Call
101657,2,Davis,47,Male,France,77070.29,Married,Self-Employed,2/16/2017,Family,1,Email
101773,5,Reid,73,Female,United States,34601.57,Widowed,Retired,3/29/2022,Senior,2,Mail
101885,4,Carroll,48,Female,France,178084.48,Single,Business Owner,11/2/2017,Premium,1,Email
102260,1,Mason,26,Female,Germany,32200.27,Married,Salaried Employee,1/8/2026,Retail,0,SMS
102303,2,Rubio,41,Female,United Kingdom,37790.41,Married,Freelancer,3/1/2020,Family,2,Email
102593,2,Mayo,34,Male,Spain,29828.85,Married,Salaried Employee,11/6/2023,Family,0,Mobile App Push
102689,5,Vargas,82,Female,Germany,28877.21,Widowed,Self-Employed,3/26/2021,Senior,1,Mail
102693,5,Allen,88,Male,Germany,26974.97,Married,Retired,5/3/2020,Senior,0,Phone Call
102805,2,Cooper,48,Male,Germany,32378.20,Married,Freelancer,8/7/2021,Family,1,SMS
102871,1,James,38,Female,United Kingdom,43480.15,Married,Salaried Employee,12/29/2023,Retail,0,Mobile App Push
102973,1,Moore,46,Male,Spain,53345.59,Married,Salaried Employee,1/11/2023,Retail,0,Email
103161,3,Bean,22,Male,Spain,12545.75,Single,Student,7/1/2022,Student,0,Email
103402,5,Ortiz,76,Female,United States,45463.81,Married,Self-Employed,9/8/2019,Senior,0,Phone Call
103468,1,Webster,32,Male,United States,44140.86,Single,Salaried Employee,2/7/2024,Retail,1,Email
103642,4,Long,56,Male,United Kingdom,80362.16,Divorced,Salaried Employee,6/1/2018,Premium,0,SMS
103704,1,White,37,Male,United Kingdom,34845.59,Married,Freelancer,8/27/2018,Retail,1,SMS
103717,1,Barnes,33,Female,Germany,36153.48,Married,Salaried Employee,1/20/2026,Retail,0,Mobile App Push
103883,3,Vasquez,26,Male,United States,8634.06,Single,Student,6/16/2026,Student,0,Mobile App Push
104000,4,Murphy,47,Female,France,139919.98,Married,Salaried Employee,11/14/2023,Premium,0,Mobile App Push
104309,1,Randolph,41,Male,United States,47093.66,Single,Self-Employed,9/24/2024,Retail,1,Phone Call
104324,1,Perkins,30,Male,France,71147.00,Married,Salaried Employee,6/14/2022,Retail,2,SMS
104548,2,Johnson,42,Female,Germany,38448.36,Married,Self-Employed,10/6/2020,Family,2,Email
104666,1,Bryant,39,Female,Germany,35630.64,Married,Salaried Employee,8/4/2021,Retail,1,Phone Call
104792,2,Jackson,44,Male,France,33077.61,Divorced,Salaried Employee,4/2/2017,Family,1,Mobile App Push
104877,2,Lewis,29,Male,Spain,40496.91,Single,Self-Employed,9/17/2024,Family,3,SMS
104895,2,Jones,35,Male,United Kingdom,44548.51,Married,Salaried Employee,11/21/2019,Family,3,Mobile App Push
104942,2,Carter,36,Female,United States,42118.60,Married,Business Owner,1/22/2018,Family,2,Phone Call
105066,4,Rosales,62,Male,France,153545.30,Married,Business Owner,1/16/2024,Premium,1,Mobile App Push
105274,4,Johnson,60,Male,Germany,138264.93,Married,Salaried Employee,6/13/2019,Premium,1,Email
105324,1,Collins,53,Male,United Kingdom,31358.48,Single,Salaried Employee,5/17/2025,Retail,0,Email
105433,2,Keller,52,Male,France,37463.26,Married,Salaried Employee,5/6/2023,Family,2,Email
105447,5,Hernandez,79,Male,Germany,57877.71,Married,Retired,10/25/2025,Senior,0,SMS
105506,2,Yu,42,Female,United Kingdom,51229.60,Married,Unemployed,6/1/2020,Family,3,SMS
105547,1,Moore,40,Female,United Kingdom,72112.07,Married,Salaried Employee,6/12/2016,Retail,0,Mail
105735,5,Zavala,71,Male,France,19433.81,Married,Retired,4/11/2021,Senior,0,Mail
105814,1,Dominguez,43,Male,France,34227.73,Married,Unemployed,3/29/2021,Retail,0,Mobile App Push
105919,1,Blackwell,33,Male,United States,35119.47,Married,Salaried Employee,4/6/2022,Retail,2,Email
106029,1,Phillips,62,Female,Spain,35617.31,Married,Unemployed,11/18/2019,Retail,1,SMS
106182,5,Washington,76,Female,Germany,14304.77,Married,Retired,12/27/2020,Senior,1,Phone Call
106185,1,Green,49,Female,United States,30350.73,Single,Salaried Employee,9/13/2016,Retail,0,Email
106402,3,Johnson,22,Male,France,15285.36,Single,Student,8/31/2021,Student,0,SMS
106429,1,Perry,39,Female,United States,29263.90,Married,Salaried Employee,7/30/2022,Retail,2,Mobile App Push
106658,1,Cardenas,44,Female,Germany,64192.11,Married,Salaried Employee,1/4/2021,Retail,0,SMS
106687,1,Mitchell,49,Male,United Kingdom,34261.34,Single,Freelancer,5/11/2022,Retail,2,Phone Call
106693,1,Peterson,55,Female,Germany,52824.07,Single,Self-Employed,4/6/2026,Retail,1,Email
106814,1,Edwards,58,Male,United States,52219.38,Single,Salaried Employee,5/11/2025,Retail,3,Email
106887,1,Ponce,34,Female,United States,39184.41,Single,Unemployed,4/5/2020,Retail,1,Email
106892,1,Miller,50,Female,France,39011.29,Divorced,Salaried Employee,10/14/2025,Retail,2,Email
106918,2,Washington,45,Male,France,35734.77,Married,Freelancer,1/19/2019,Family,2,Phone Call
106933,5,Conway,65,Female,Spain,35568.11,Widowed,Retired,5/27/2019,Senior,0,Email
106945,4,Farmer,49,Male,Germany,105945.99,Single,Business Owner,4/29/2021,Premium,1,Phone Call
107096,1,Davidson,42,Female,United States,52966.07,Single,Salaried Employee,9/16/2024,Retail,2,Mobile App Push
107161,2,Smith,47,Female,Germany,41185.49,Married,Salaried Employee,10/22/2024,Family,0,Phone Call
107459,1,Jefferson,39,Male,France,39010.36,Married,Salaried Employee,5/22/2026,Retail,0,Phone Call
107540,5,Sanders,82,Female,Germany,32311.76,Married,Self-Employed,3/6/2026,Senior,0,Phone Call
107543,5,Conley,79,Male,Spain,35349.96,Widowed,Retired,4/10/2023,Senior,0,Mail
107568,1,Jordan,44,Female,United Kingdom,13244.95,Single,Salaried Employee,5/10/2024,Retail,0,Mobile App Push
107574,2,Johnson,43,Female,Germany,33610.19,Married,Salaried Employee,10/18/2023,Family,1,Phone Call
107686,1,Davis,55,Female,Spain,23900.95,Married,Salaried Employee,6/7/2018,Retail,2,SMS
107704,1,Gonzalez,50,Female,Spain,15185.37,Single,Self-Employed,6/30/2022,Retail,2,Mobile App Push
107790,1,Romero,44,Male,Germany,38570.91,Married,Freelancer,5/15/2020,Retail,0,Mobile App Push
108060,1,Gordon,31,Male,France,34805.01,Single,Freelancer,6/7/2024,Retail,0,Phone Call
108105,1,Anderson,28,Female,United States,24265.60,Single,Salaried Employee,7/27/2017,Retail,1,Mobile App Push
108203,2,Gomez,44,Female,France,28546.93,Divorced,Freelancer,8/31/2022,Family,4,Mobile App Push
108356,2,Carter,28,Male,Spain,62537.01,Married,Self-Employed,6/18/2022,Family,3,Mobile App Push
108454,1,Munoz,49,Female,France,24480.24,Married,Salaried Employee,7/20/2025,Retail,2,Mail
108491,2,Stanton,47,Female,France,39034.89,Married,Salaried Employee,6/9/2026,Family,1,Email
108513,5,Rich,74,Female,United Kingdom,52897.27,Widowed,Retired,1/10/2018,Senior,0,Mail
108574,2,Holland,41,Female,France,25890.19,Divorced,Freelancer,7/21/2019,Family,2,Phone Call
108602,2,Livingston,47,Male,France,79724.87,Married,Unemployed,11/8/2024,Family,1,SMS
108721,5,Malone,68,Female,France,17089.77,Divorced,Retired,1/5/2023,Senior,0,Email
108739,5,Keller,82,Male,Germany,37444.08,Married,Self-Employed,9/24/2019,Senior,0,Email
108827,5,Robinson,81,Male,Spain,53131.71,Divorced,Self-Employed,12/23/2023,Senior,0,Mail
108874,1,Lopez,61,Female,France,40646.92,Married,Salaried Employee,12/22/2017,Retail,1,Mail
108886,1,Allison,37,Female,Spain,23895.85,Married,Freelancer,2/2/2020,Retail,0,Phone Call
108887,1,Rivera,40,Female,United States,82933.18,Divorced,Salaried Employee,9/7/2022,Retail,1,Email
109231,1,Lowe,36,Female,France,63831.05,Single,Salaried Employee,6/23/2019,Retail,3,Mobile App Push
109330,5,Freeman,74,Female,France,44624.05,Married,Retired,4/23/2017,Senior,0,Phone Call
109363,1,Woodard,58,Female,France,41740.70,Divorced,Salaried Employee,5/21/2018,Retail,1,Mobile App Push
109576,1,Thomas,34,Female,France,22884.18,Single,Salaried Employee,4/13/2022,Retail,0,SMS
109585,4,Johnson,41,Male,France,242929.65,Single,Business Owner,5/15/2017,Premium,1,Mobile App Push
109717,5,Pearson,88,Male,France,28692.61,Widowed,Retired,7/20/2024,Senior,0,Phone Call
109738,2,Gillespie,29,Female,Germany,37053.71,Divorced,Salaried Employee,10/29/2025,Family,0,Mail
109756,5,Jenkins,79,Male,France,16333.13,Married,Retired,10/14/2017,Senior,0,Phone Call
109767,4,Berger,43,Female,France,56067.76,Married,Salaried Employee,7/15/2023,Premium,2,SMS
109853,2,Austin,44,Female,France,33347.20,Married,Self-Employed,7/14/2022,Family,2,Email
109909,5,Scott,71,Female,France,77193.60,Single,Retired,12/20/2022,Senior,0,Phone Call
110048,2,Lopez,31,Female,France,33233.42,Married,Self-Employed,12/19/2018,Family,3,SMS
110060,1,Ross,30,Male,United Kingdom,33259.73,Single,Salaried Employee,2/18/2024,Retail,0,Email
110139,5,Smith,70,Female,United States,12835.69,Divorced,Retired,7/26/2022,Senior,0,Phone Call
110142,2,Prince,43,Female,France,39358.96,Married,Salaried Employee,9/28/2016,Family,2,Mobile App Push
110195,1,Garza,49,Female,Germany,20827.92,Divorced,Salaried Employee,3/28/2019,Retail,0,Mobile App Push
110215,1,Castro,49,Female,Spain,51623.39,Divorced,Self-Employed,3/2/2025,Retail,1,Mobile App Push
110644,2,Davis,30,Male,France,93913.29,Married,Self-Employed,1/24/2025,Family,4,Email
111060,1,Conrad,47,Male,United Kingdom,46312.01,Single,Business Owner,1/31/2024,Retail,1,Mobile App Push
