customer_id,segment_id,surname,age,gender,geography,estimated_salary,marital_status,occupation,join_date,segment,num_dependents,preferred_contact_method
100096,2,Carpenter,48,Male,United States,47551.78,Married,Self-Employed,7/12/2026,Family,4,Email
100177,5,Crawford,82,Male,United States,15359.42,S,Retired,9/22/2019,Senior,0,Email
100193,1,Owen,31,Female,Germany,67422.68,Married,Salaried Employee,7/12/2023,Retail,0,Email
100205,5,Campbell,65,F,France,50019.94,Married,Retired,28-Mar-24,Senior,0,Email
100301,2,Castro,42,Female,United Kingdom,15962.36,Married,salaried employee,27-Jun-26,Family,3,Email
100425,1,Stephenson,56,M,United States,27894.97,Divorced,Self-Employed,12/11/2024,Retail,1,Email
100599,3,Carrillo,25,Female,Germany,9286.38,Single,student,2/8/2024,Student,0,SMS
100708,1,Mullins,61,Female,United States,94553.34,S,Business Owner,9/2/2024,Retail,2,Email
100716,3,Kim,18,Female,DE,16901.78,Single,student,13-07-2018,Student,0,Email
100754,1,anderson,43,Female,Germany,17572.58,M,Salaried Employee,12/2/2023,Retail,2,Mobile App Push
100884,4,Thompson,53,Female,France,64057.04,Married,business owner,4/1/2026,Premium,0,Mobile App Push
100909,1,Cochran,60,Female,France,31224.63,Married,Salaried Employee,6/11/2025,Retail,3,Mail
101139,1,thomas,42,Male,United States,39104.18,Married,Freelancer,12/16/2024,Retail,1,SMS
101206,3,Smith,21,Male,Germany,8827.53,Single,freelancer,24-Nov-21,Student,0,Mail
101258,2,Owens,36,Male,Germany,21375.66,Single,Salaried Employee,6/18/2021,Family,4,SMS
101343,1,rose,33,Male,United Kingdom,63458.69,Single,salaried employee,26-01-2025,Retail,0,Mobile App Push
101429,1,walter,41,M,France,23320.24,Single,Self-Employed,12/10/2017,Retail,2,Email
101533,1,F. Long,49,Male,France,26709.43,Single,Freelancer,19-Sep-22,Retail,1,Email
101640,5,T. James,67,Female,Germany,40727.61,Married,Retired,13-12-2023,Senior,0,Phone Call
101657,2,Davis,47,Male,France,77070.29,Married,Self-Employed,2/16/2017,Family,1,Email
101773,5,Reid,73,Female,United States,34601.57,Widowed,Retired,3/29/2022,Senior,2,Mail
101885,4,Carroll,48,Female,France,178084.48,Single,Business Owner,11/2/2017,Premium,1,Email
102260,1,mason,26,Female,Germany,32200.27,M,Salaried Employee,8/1/2026,Retail,0,SMS
102303,2,Rubio,41,Female,United Kingdom,37790.41,M,Freelancer,3/1/2020,Family,2,Email
102593,2,mayo,34,Male,Spain,29828.85,Married,Salaried Employee,11/6/2023,Family,0,Mobile App Push
102689,5,Vargas,82,F,Germany,28877.21,Widowed,Self-Employed,26-03-2021,Senior,1,Mail
102693,5,Allen,88,M,Germany,26974.97,Married,Retired,5/3/2020,Senior,0,Phone Call
102805,2,cooper,48,Male,Germany,32378.2,Married,Freelancer,7-Aug-21,Family,1,SMS
102871,1,James,38,F,United Kingdom,43480.15,Married,Salaried Employee,12/29/2023,Retail,0,Mobile App Push
102973,1,Moore,46,Male,ES,53345.59,Married,Salaried Employee,1/11/2023,Retail,0,Email
103161,3,C. Bean,22,Male,Spain,12545.75,Single,Student,7/1/2022,Student,0,Email
103402,5,ortiz,76,F,USA,45463.81,Married,self-employed,9/8/2019,Senior,0,Phone Call
103468,1,Webster,32,Male,United States,44140.86,Single,Salaried Employee,2/7/2024,Retail,1,Email
103642,4,Long,56,Male,United Kingdom,80362.16,Divorced,Salaried Employee,6/1/2018,Premium,0,SMS
103704,1,White,37,Male,United Kingdom,34845.59,Married,Freelancer,8/27/2018,Retail,1,SMS
103717,1,Q. Barnes,33,Female,Germany,36153.48,Married,Salaried Employee,20-01-2026,Retail,0,Mobile App Push
103883,3,V. Vasquez,26,Male,United States,8634.06,Single,student,16-Jun-26,Student,0,Mobile App Push
104000,4,Murphy,47,Female,France,139919.98,Married,Salaried Employee,11/14/2023,Premium,0,Mobile App Push
104309,1,Randolph,41,Male,United States,47093.66,S,self-employed,24-Sep-24,Retail,1,Phone Call
104324,1,Perkins,30,M,France,71147,Married,Salaried Employee,14-Jun-22,Retail,2,SMS
104548,2,B. Johnson,42,Female,Germany,38448.36,M,Self-Employed,10/6/2020,Family,2,Email
104666,1,Bryant,39,Female,Germany,35630.64,Married,Salaried Employee,4-Aug-21,Retail,1,Phone Call
104792,2,W. Jackson,44,Male,France,33077.61,Divorced,Salaried Employee,4/2/2017,Family,1,Mobile App Push
104877,2,Lewis,29,Male,Spain,40496.91,Single,Self-Employed,9/17/2024,Family,3,SMS
104895,2,Jones,35,Male,United Kingdom,44548.51,M,Salaried Employee,21-Nov-19,Family,3,Mobile App Push
104942,2,Carter,36,Female,United States,42118.6,Married,Business Owner,22-Jan-18,Family,2,Phone Call
105066,4,Rosales,62,Male,FR,153545.3,Married,Business Owner,1/16/2024,Premium,1,Mobile App Push
105274,4,johnson,60,Male,Germany,138264.93,Married,Salaried Employee,13-Jun-19,Premium,1,Email
105324,1,Collins,53,Male,United Kingdom,31358.48,Single,Salaried Employee,17-May-25,Retail,0,Email
105433,2,Keller,52,Male,France,37463.26,Married,Salaried Employee,5/6/2023,Family,2,Email
105447,5,hernandez,79,Male,Germany,57877.71,Married,retired,25-Oct-25,Senior,0,SMS
105506,2,Yu,42,Female,UK,51229.6,Married,Unemployed,6/1/2020,Family,3,SMS
105547,1,Moore,40,Female,United Kingdom,72112.07,Married,Salaried Employee,6/12/2016,Retail,0,Mail
105735,5,zavala,71,Male,France,19433.81,Married,Retired,11-Apr-21,Senior,0,Mail
105814,1,Dominguez,43,Male,France,34227.73,Married,Unemployed,3/29/2021,Retail,0,Mobile App Push
105919,1,Blackwell,33,Male,United States,35119.47,M,Salaried Employee,6-Apr-22,Retail,2,Email
106029,1,Phillips,62,Female,Spain,35617.31,Married,Unemployed,11/18/2019,Retail,1,SMS
106182,5,Washington,76,Female,Germany,14304.77,Married,retired,12/27/2020,Senior,1,Phone Call
106185,1,Green,49,Female,United States,30350.73,Single,Salaried Employee,9/13/2016,Retail,0,Email
